"Function","CPU Time: Total","CPU Time: Self","Instructions Retired: Total","Instructions Retired: Self","Microarchitecture Usage: Total","Microarchitecture Usage: Self","Module","Function (Full)","Source File","Start Address"
"xavs2_calc_satd_16x8_avx2","9.45778","9.45778","74814400000","74814400000","0.473047","0.473047","xavs2","xavs2_calc_satd_16x8_avx2","[Unknown]","0x1a8800"
"aec_write_run_level_luma_fastrdo","19.4604","8.34044","128648000000","57449600000","0.359947","0.381942","xavs2","aec_write_run_level_luma_fastrdo","aec_fastrdo.c","0x770ee"
"tu_get_cg_run_level_info","3.51733","3.51733","15817600000","15817600000","0.239504","0.239504","xavs2","tu_get_cg_run_level_info","aec.h","0x7716f"
"xavs2_pixel_satd_16x8_internal_avx2","1.42044","1.42044","10611200000","10611200000","0.43553","0.43553","xavs2","xavs2_pixel_satd_16x8_internal_avx2","[Unknown]","0x1a83f0"
"sao_get_stat_block_EO_90","1.49067","1.28711","17859200000","15147200000","0.796504","0.796354","xavs2","sao_get_stat_block_EO_90","sao.c","0x1e1b2"
"biari_encode_symbol_fastrdo","1.24267","1.24267","12491200000","12491200000","0.584154","0.584154","xavs2","biari_encode_symbol_fastrdo","aec_fastrdo.c","0x78308"
"biari_encode_symbol_fastrdo","1.54667","1.22311","15523200000","12734400000","0.550206","0.550253","xavs2","biari_encode_symbol_fastrdo","aec_fastrdo.c","0x7836b"
"aec_write_run_level_luma","4.22489","1.17333","18009600000","6192000000","0.24336","0.294136","xavs2","aec_write_run_level_luma","aec.c","0x6370b"
"biari_encode_symbol_fastrdo","1.26667","1.13422","9230400000","8344000000","0.290653","0.272953","xavs2","biari_encode_symbol_fastrdo","aec_fastrdo.c","0x78501"
"aec_write_run_level_chroma_fastrdo","2.66489","1.07111","17348800000","7259200000","0.363205","0.419259","xavs2","aec_write_run_level_chroma_fastrdo","aec_fastrdo.c","0x75953"
"sao_get_stat_block_EO_0","1.23733","1.06133","14864000000","12510400000","0.660725","0.657712","xavs2","sao_get_stat_block_EO_0","sao.c","0x1e045"
"biari_encode_symbol_fastrdo","1.02578","1.02578","6976000000","6976000000","0.326178","0.326178","xavs2","biari_encode_symbol_fastrdo","aec_fastrdo.c","0x7843a"
"xavs2_dct_32x32_avx2","0.910222","0.910222","6696000000","6696000000","0.448156","0.448156","xavs2","xavs2_dct_32x32_avx2","[Unknown]","0x129260"
"xavs2_pixel_satd_8x8_internal_avx2","0.903111","0.903111","5726400000","5726400000","0.365808","0.365808","xavs2","xavs2_pixel_satd_8x8_internal_avx2","[Unknown]","0x1a8620"
"biari_encode_symbol_aec","1.05778","0.850667","3964800000","3201600000","0.229581","0.223873","xavs2","biari_encode_symbol_aec","aec.c","0x5aa3a"
"[Outside any known module]","0.768","0.768","2294400000","2294400000","0.257949","0.257949","[Unknown]","[Outside any known module]","[Unknown]","0"
"lf_edge_core","0.696","0.696","4332800000","4332800000","0.325147","0.325147","xavs2","lf_edge_core","filter_deblock.c","0x8e05"
"xavs2_me_search","1.34667","0.688889","9248000000","5376000000","0.460191","0.499721","xavs2","xavs2_me_search","me.c","0x17e89"
"me_subpel_refine","0.657778","0.657778","3872000000","3872000000","0.419475","0.419475","xavs2","me_subpel_refine","me.c","0x1b7d3"
"tu_get_cg_run_level_info","0.643556","0.643556","3582400000","3582400000","0.274898","0.274898","xavs2","tu_get_cg_run_level_info","aec.h","0x759c8"
"xavs2_dequant_avx2","0.617778","0.617778","5299200000","5299200000","0.609742","0.609742","xavs2","xavs2_dequant_avx2","[Unknown]","0x15af90"
"xavs2_pixel_sa8d_8x8_internal_avx","0.606222","0.606222","6451200000","6451200000","0.55096","0.55096","xavs2","xavs2_pixel_sa8d_8x8_internal_avx","[Unknown]","0x145000"
"xavs2_pixel_avg_16x64_8bit_avx2","0.579556","0.579556","1460800000","1460800000","0.15507","0.15507","xavs2","xavs2_pixel_avg_16x64_8bit_avx2","[Unknown]","0x134d00"
"xavs2_pixel_avg_8x32_avx2","0.567111","0.567111","1808000000","1808000000","0.202691","0.202691","xavs2","xavs2_pixel_avg_8x32_avx2","[Unknown]","0x134c30"
